variety,points,price,n,colour,r,theta,apple,balanced,berry,blackberry,bright,cherry,chocolate,crisp,dark,delicious,dry,earthy,elegant,floral,fresh,fruity,herb,juicy,leather,licorice,light,lively,mineral,oak,pepper,plum,raspberry,refreshing,rich,ripe,savory,smooth,soft,solid,spice,sweet,tannic,tart,tobacco,vanilla
Carmenere,86.58956522,21.52380952,575,red,310,288,0,1.187214612,14.15525114,6.666666667,0.456621005,4.429223744,3.561643836,0.730593607,4.246575342,0,1.689497717,2.831050228,0.182648402,0.502283105,2.557077626,0.730593607,3.01369863,1.050228311,1.415525114,1.415525114,0.639269406,1.324200913,0.091324201,7.808219178,3.196347032,11.68949772,1.826484018,0,0.684931507,2.831050228,0.867579909,0.867579909,1.506849315,2.191780822,5.844748858,1.872146119,1.689497717,0.913242009,1.369863014,1.96347032
Corvina,88.25585023,47.72868217,641,red,310,216,2.119152339,0.679728109,4.958016793,4.198320672,4.9980008,11.11555378,3.598560576,2.399040384,4.9980008,0.399840064,0.239904038,0.279888045,1.279488205,0.159936026,2.479008397,0.479808077,0.55977609,0.119952019,4.158336665,2.079168333,0.99960016,0.919632147,1.039584166,2.758896441,1.399440224,1.079568173,1.43942423,0.079968013,2.518992403,3.918432627,1.639344262,2.518992403,4.198320672,0.279888045,11.8752499,5.117952819,0.239904038,0.599760096,4.718112755,1.359456218
Gamay,88.03317073,20.69976077,1025,red,310,54,0.060150376,2.135338346,3.067669173,0.511278195,4.240601504,9.383458647,0.180451128,4.240601504,2.496240602,1.684210526,4,0.15037594,0.210526316,0.330827068,4.601503759,8.180451128,0.030075188,6.736842105,0.030075188,0.060150376,4.210526316,0.932330827,1.804511278,0.15037594,0.421052632,3.037593985,0.511278195,0.631578947,8.030075188,11.84962406,0.060150376,1.052631579,5.203007519,2.796992481,2.616541353,1.383458647,2.736842105,0.120300752,0,0.120300752
Grenache,87.95087001,31.50359712,977,red,310,108,0.436300175,0.639906923,5.904595695,2.763234439,1.687027341,10.73298429,2.094240838,1.657940663,2.937754508,0.814426992,2.443280977,2.268760908,1.19255381,1.54159395,3.664921466,1.308900524,1.483420593,1.425247237,0.843513671,1.687027341,4.363001745,1.163467132,0.581733566,3.781268179,2.937754508,8.580570099,5.497382199,0.145433392,2.210587551,3.490401396,1.454333915,0.756253636,1.89063409,0.727166958,4.712041885,2.821407795,2.065154159,1.919720768,0.814426992,2.559627691
Malbec,87.98303167,29.9267258,2652,red,220,120,0.090964221,1.475641803,10.99656357,7.742065899,1.172427734,3.881140085,3.628461694,0.535678189,4.800889428,0.424499697,2.112391348,2.102284213,0.505356782,1.091570649,2.324641197,1.516070346,1.243177683,2.324641197,1.50596321,1.788963008,1.313927633,0.808570851,0.444713968,5.518496058,1.495856074,8.954922175,2.011319992,0.050535678,2.769355165,4.962603598,1.253284819,1.303820497,1.849605822,2.011319992,4.447139681,2.415605417,2.85021225,1.121892056,0.848999394,2.304426925
Merlot,87.20857511,29.54343566,3102,red,220,330,0.10270775,1.241830065,4.024276377,4.192343604,0.933706816,10.98972923,3.790849673,0.821661998,3.109243697,0.859010271,4.369747899,1.344537815,1.148459384,0.289449113,1.531279178,1.475256769,2.194211018,1.643323996,1.129785247,1.774042951,2.203548086,0.373482726,0.214752568,5.78898226,2.250233427,6.181139122,2.464985994,0.149393091,3.716153128,4.435107376,0.924369748,2.371615313,5.014005602,0.821661998,4.509803922,3.099906629,2.380952381,1.437908497,1.652661064,3.04388422
Nebbiolo,90.2510699,65.60960961,2804,red,120,200,0.106229608,0.940890811,9.522725548,0.644965475,3.338644814,14.21200395,1.062296077,0.235222703,3.649745808,0.599438501,0.470445406,0.994005615,2.1625313,0.51597238,2.185294787,0.091053949,4.529933986,2.321875711,5.068669854,6.22201988,0.447681918,0.318688823,1.3809849,3.687684953,4.036725093,1.487214508,4.598224448,0.007587829,0.77395857,4.833447151,0.94847864,0.918127324,0.743607254,0.720843767,8.29349723,1.047120419,0.736019425,0.766370741,3.179300402,2.200470445
Nero d'Avola,87.44931507,23.33435583,365,red,310,342,0.18404908,0.18404908,6.993865031,8.527607362,4.171779141,12.39263804,1.288343558,0.429447853,3.067484663,0.674846626,0.061349693,0.858895706,0.736196319,0.18404908,3.374233129,1.349693252,0.858895706,5.030674847,2.45398773,2.147239264,0.736196319,0.36809816,0.613496933,2.515337423,3.742331288,2.699386503,3.680981595,0.122699387,0.797546012,7.300613497,1.595092025,3.190184049,3.803680982,0.36809816,8.343558282,0.920245399,0,0.490797546,1.042944785,2.699386503
Petite Syrah,88.2038961,31.46614583,770,red,310,18,0.038417211,1.075681905,1.575105647,9.335382251,0.768344218,5.339992317,6.876680753,0.268920476,7.645024971,1.69035728,4.264310411,1.383019593,0.883595851,0.614675375,0.960430273,1.306185171,0.461006531,1.459854015,2.343449866,2.650787553,0.998847484,0.115251633,0,4.187475989,6.492508644,2.804456396,1.575105647,0.076834422,4.994237418,4.763734153,1.037264695,1.651940069,4.955820207,0.42258932,2.381867076,2.727621975,5.186323473,1.114099116,1.536688436,2.036112178
Pinot Noir,89.40243812,47.37756836,13453,red,0,0,0.308634648,1.595403718,2.483321858,1.008997887,2.153320197,13.25704518,1.58828138,2.162816647,3.098217041,1.699864676,3.796206168,2.559293464,1.749721042,0.664751549,2.948647943,1.642885971,1.336625436,2.020369887,0.519930676,1.239286817,4.520310534,0.840435887,0.486693098,5.234918449,1.640511859,3.245412027,5.916288787,0.465326084,3.926782365,5.543553097,1.441086394,1.388855915,3.292894281,0.978134422,4.014624534,2.276774056,1.471949859,3.15044752,0.553168253,1.778210394
Port,89.73353293,64.67935872,668,red,310,198,0.097418412,4.042864101,3.312226011,2.873843156,1.071602533,1.412566975,1.948368242,0.730638091,3.750608865,2.484169508,8.377983439,0,0.535801266,0.584510472,4.237700925,6.137359961,0.146127618,1.948368242,0.097418412,0.146127618,2.873843156,0.389673648,0.292255236,0.340964442,0.292255236,2.484169508,0.146127618,0.097418412,10.61860692,11.98246469,0,2.922552362,4.383828544,1.656113005,4.140282513,9.887968826,2.532878714,0.097418412,0.097418412,0.828056503
Portuguese Red,88.81062449,24.81921676,2466,red,220,180,0.036509675,3.005963247,5.184373859,2.701715955,1.703784836,0.486795668,1.107460144,1.168309602,5.963246927,1.143969819,4.174272849,0.608494584,0.876232202,0.109529025,3.261530972,5.865887794,0.1460387,7.49665328,0.21905805,0.584154801,2.214920287,0.425946209,1.715954728,0.693683826,0.608494584,3.115492272,0.097359134,0.133868809,10.45393696,13.53291956,0,3.358890106,5.999756602,3.212851406,4.259462091,1.399537544,2.494827796,0.012169892,0.060849458,0.365096751
Rhone Red,89.15363698,34.9252669,1471,red,220,270,0.130804447,1.635055592,2.550686723,3.836930456,2.376280794,10.0501417,3.880531938,1.111837802,4.556354916,0.872029649,2.398081535,1.482450403,1.155439285,0.784826684,2.267277087,1.177240026,1.438848921,1.569653368,2.834096359,2.725092653,1.78766078,0.610420754,0.588620013,3.291911925,4.905166776,5.471986048,4.011336385,0.109003706,3.858731197,4.381948986,1.983867451,0.915631131,3.444517114,1.06823632,5.035971223,2.616088947,2.180074123,1.395247438,0.915631131,2.594288206
Sangiovese,88.55079424,45.27934371,2707,red,220,90,0.115330752,0.799077354,6.961034682,1.647582173,3.204547327,15.33899003,1.449872312,0.510750474,2.726748497,0.782601532,1.153307521,1.202734986,1.029738858,0.296564791,2.413707884,0.321278524,3.583491227,2.784413873,4.736798748,3.921245572,1.392206936,0.436609276,0.453085098,3.632918692,3.344591812,4.382568581,3.632918692,0.09061702,1.054452591,5.371117885,1.326303649,1.474586045,1.318065739,0.444847187,6.343191367,1.598154708,0.675508691,1.194497076,3.814152731,3.039789109
Sangiovese Grosso,90.52996005,65.63497453,751,red,310,144,0.211800303,1.119515885,5.355521936,3.842662632,8.169440242,11.64901664,2.541603631,1.785173979,6.444780635,0.121028744,0.363086233,0.393343419,2.269288956,0.332829047,3.146747352,0.484114977,0.363086233,0.121028744,6.142208775,1.754916793,0.423600605,0.756429652,1.361573374,1.664145234,1.149773071,1.180030257,1.331316188,0.181543116,2.632375189,3.721633888,1.664145234,2.481089259,2.93494705,0.484114977,11.07413011,2.148260212,0.423600605,0.15128593,5.506807867,2.118003026
Syrah,89.24829249,39.54054605,4978,red,120,310,0.035801659,1.491735784,3.442926189,6.700877141,1.50366967,6.139984486,3.82481055,0.79957038,4.851124769,0.960677845,2.768661615,1.539471329,1.056148935,0.716033176,1.611074646,1.10388448,1.837818486,1.151620025,1.897487917,2.488215287,1.652843248,0.453487678,0.787636494,4.302166,7.542216123,4.308132943,2.49418223,0.155140522,4.129124649,3.979951071,2.762694672,1.420132466,3.12071126,0.656363745,4.51100901,2.643355809,2.404678083,2.040694552,1.342562205,3.371322871
Tempranillo,87.69599666,32.31703204,2398,red,220,240,0.090876045,1.035986914,11.14140313,4.61650309,0.708833152,5.897855325,2.94438386,1.090512541,2.708106143,0.227190113,2.808069793,4.034896401,0.599781897,0.527081061,3.007997092,0.699745547,1.045074518,1.526717557,2.226463104,1.335877863,1.708469647,0.845147219,0.163576881,6.470374409,1.081424936,10.17811705,3.798618684,0.036350418,0.963286078,3.562340967,1.526717557,1.054162123,0.999636496,1.508542348,4.580152672,1.526717557,3.671392221,0.963286078,2.771719375,4.316612141
Zinfandel,87.82866618,29.4922452,2714,red,220,60,0.032037591,1.751388296,3.71636053,7.112345152,1.3882956,6.055104656,4.154207604,0.331055105,2.573686459,1.431012388,5.585219991,0.939769329,0.865014951,0.27765912,1.003844511,2.007689022,0.715506194,2.007689022,2.018368219,1.890217856,1.217428449,0.501922255,0.13882956,3.684322939,5.958991884,2.413498505,3.524134985,0.149508757,4.891072191,6.311405382,1.217428449,2.050405809,5.040580948,0.299017514,3.983340453,5.425032038,2.691157625,0.811618966,1.730029902,2.103801794
