"variety","points","price","n","almond","apple","balanced","berry","bitter","blackberry","bright","cherry","chocolate","coffee","complex","crisp","currant","dark","delicious","dry","earthy","easy","elegant","floral","fresh","fruits","fullbodied","herb","juicy","leather","licorice","light","lively","mineral","pepper","plum","raspberry","refreshing","rich","ripe","rose","savory","smooth","soft","solid","spice","strawberry","sweet","tangy","tannic","tart","tobacco","vanilla","wild"
"Corvina",88.2558502340094,47.7286821705426,641,2.56219829186781,1.9680653546231,0.631266245822503,4.60453026364649,0.742666171555886,3.8989974006684,4.64166357222429,10.3230597846268,3.34199777200149,0.445599702933531,0.222799851466766,2.22799851466766,0.965466023022651,4.64166357222429,0.371333085777943,0.222799851466766,0.25993316004456,2.07946528035648,1.18826587448942,0.148533234311177,2.30226513182325,0.0371333085777943,0.0371333085777943,0.51986632008912,0.111399925733383,3.86186409209061,1.9309320460453,0.928332714444857,0.854066097289269,0.965466023022651,1.2996658002228,1.00259933160045,1.33679910880059,0.0742666171555886,2.33939844040104,3.63906424062384,0.51986632008912,1.52246565168957,2.33939844040104,3.8989974006684,0.25993316004456,11.0285926476049,0.668399554400297,4.75306349795767,0.222799851466766,0.222799851466766,0.556999628666914,4.38173041217973,1.26253249164501,1.63386557742295
"Gamay",88.0331707317073,20.6997607655502,1025,0,0.0545404963185165,1.93618761930734,2.78156531224434,0.709026452140714,0.46359421870739,3.84510499045541,8.50831742568857,0.163621488955549,0.0818107444777747,0.46359421870739,3.84510499045541,0.572675211344423,2.26343059721843,1.52713389691846,3.62694300518135,0.136351240796291,0.354513226070357,0.190891737114808,0.299972729751841,4.17234796836651,12.7079356422143,0.599945459503681,0.0272702481592582,6.10853558767385,0.0272702481592582,0.0545404963185165,3.81783474229615,0.845377692937006,1.63621488955549,0.381783474229616,2.75429506408508,0.46359421870739,0.572675211344423,7.28115625852195,10.7444777747478,0.0545404963185165,0.0545404963185165,0.954458685574039,4.71775293155168,2.53613307881102,2.37251158985547,0.736296700299973,1.25443141532588,0.490864466866648,2.4815925824925,0.109080992637033,0,0.109080992637033,0.109080992637033
"Gewurztraminer",88.5909090909091,26.2834728033473,1012,0.261951538965291,2.61951538965291,4.09299279633268,0.0654878847413229,2.03012442698101,0,2.09561231172233,0.0654878847413229,0.0654878847413229,0.0327439423706614,0.949574328749181,2.52128356254093,0,0.294695481335953,1.04780615586117,8.41519318925999,1.17878192534381,1.04780615586117,1.24426981008513,4.55140798952194,5.37000654878847,2.39030779305828,1.17878192534381,0.196463654223969,2.48853962017027,0.0327439423706614,0,2.03012442698101,0.91683038637852,1.47347740667976,1.60445317616241,0.654878847413229,0,1.53896529142109,8.64440078585462,7.79305828421742,6.05762933857236,0.491159135559921,1.04780615586117,3.40537000654879,0.130975769482646,9.10281597904388,0,7.69482645710544,0.851342501637197,0,0.753110674525213,0,1.34250163719712,0.22920759659463
"Glera",87.2440056417489,20.1175496688742,709,3.9,16.1,0.8,0,0.8,0,10.55,0,0,0,0.05,8.35,0,0,0.7,4.75,0.05,2.4,2.25,2,8.25,0.1,0,1.4,0.95,0,0,2.05,3.1,3.35,0.95,0,0,3.7,2.35,4.6,0.9,0.7,1.3,5.85,0.05,0.25,0,3.75,0.9,0,0.65,0,0.15,2
"Grenache",87.9508700102354,31.5035971223022,977,0.0269832703723691,0.404749055585537,0.593631948192121,5.47760388559093,0.431732325957906,2.56341068537507,1.56502968159741,9.95682676740421,1.94279546681058,0.431732325957906,1.21424716675661,1.53804641122504,0.863464651915812,2.72531030760928,0.755531570426336,2.26659471127901,2.10469508904479,0.647598488936859,1.10631408526713,1.43011332973556,3.39989206691851,1.32218024824609,1.21424716675661,1.37614678899083,1.32218024824609,0.782514840798705,1.56502968159741,4.04749055585537,1.07933081489477,0.539665407447383,2.72531030760928,7.96006475984889,5.09983810037777,0.134916351861846,2.05072854830005,3.2379924446843,2.1856449001619,1.34916351861846,0.701565029681597,1.75391257420399,0.674581759309228,4.3712898003238,2.56341068537507,2.61737722611981,0.404749055585537,1.91581219643821,1.78089584457636,0.755531570426336,2.37452779276848,0.647598488936859
"Gruner Veltliner",89.9806691449814,27.7807860262009,1345,0.252844500632111,4.98103666245259,1.41592920353982,0.0505689001264222,0.632111251580278,0,2.35145385587863,0,0,0,0.707964601769911,4.85461441213654,0.303413400758534,0.202275600505689,1.76991150442478,3.59039190897598,0.910240202275601,2.275600505689,0.4551201011378,0.884955752212389,11.4538558786346,2.25031605562579,0.657395701643489,0.581542351453856,2.5031605562579,0,0,5.94184576485461,2.40202275600506,1.66877370417193,7.93931731984829,1.97218710493047,0,5.0063211125158,4.551201011378,10.6700379266751,0.0758533501896334,3.91908975979772,1.39064475347661,2.37673830594185,0.0505689001264222,6.11883691529709,0,0.480404551201011,0.834386852085967,0,0.6826801517067,0,0.707964601769911,0.126422250316056
"Malbec",87.9830316742081,29.9267258002314,2652,0.0193143408981169,0.0869145340415258,1.40994688556253,10.5070014485756,0.685659101883148,7.39739256397875,1.12023177209078,3.70835345243844,3.46692419121197,1.57411878319652,0.704973442781265,0.511830033800097,1.05263157894737,4.58715596330275,0.405601158860454,2.01834862385321,2.00869145340415,0.30902945436987,0.482858522452921,1.04297440849831,2.22114920328344,4.54852728150652,0.724287783679382,1.18783196523419,2.22114920328344,1.43891839690971,1.70931916948334,1.2554321583776,0.772573635924674,0.424915499758571,1.42926122646065,8.55625301786577,1.92177691936263,0.0482858522452921,2.64606470304201,4.74167069048769,0.115886045388701,1.19748913568324,1.24577498792854,1.76726219217769,1.92177691936263,4.24915499758571,0.222114920328344,2.30806373732496,0.376629647513279,2.72332206663448,1.07194591984549,0.811202317720908,2.20183486238532,0.840173829068083
"Merlot",87.2085751128304,29.5434356629654,3102,0.17961383026493,0.0987876066457117,1.19443197126179,3.87067804220925,0.59272563987427,4.03233048944769,0.898069151324652,10.5702739110912,3.64616075437809,1.73327346205658,0.880107768298159,0.790300853165694,2.11944319712618,2.99057027391109,0.82622361921868,4.20296362819937,1.2932195779075,1.10462505612932,1.10462505612932,0.278401436910642,1.47283340817243,1.39200718455321,1.36506511001347,2.11046250561293,1.58060170633139,1.08666367310283,1.70633138751684,2.11944319712618,0.359227660529861,0.20655590480467,2.16434665469241,5.9452177817692,2.37090255949708,0.143691064211944,3.57431522227211,4.2658284687921,0.278401436910642,0.889088459811405,2.28109564436462,4.82263134261338,0.790300853165694,4.33767400089807,0.610687022900763,2.98158958239784,0.287382128423889,2.29007633587786,1.38302649303996,1.58958239784463,2.92770543331837,0.260440053884149
"Nebbiolo",90.2510699001427,65.6096096096096,2804,0.269206875129426,0.0966383654310761,0.855939808103817,8.66293918685718,0.379650721336371,0.586732932974391,3.03720577069096,12.9288327466004,0.966383654310761,2.08462759715607,0.165665769310416,0.213984952025954,0.269206875129426,3.32021812659626,0.545316490646787,0.427969904051909,0.904258990819355,0.0966383654310761,1.96728101056119,0.469386346379513,1.98798923172499,0.0483191827155381,1.27010423137986,4.1209360115966,2.11223855870781,4.61103057913992,5.66024711810589,0.407261682888107,0.289915096293228,1.25629875060399,3.67225788638089,1.35293711603507,4.18306067508801,0.00690274038793401,0.704079519569269,4.39704562711396,3.64464692482916,0.862842548491751,0.835231586940015,0.676468558017533,0.655760336853731,7.54469524401187,1.06302201974184,0.952578173534893,0.0345137019396701,0.669565817629599,0.697176779181335,2.89224822254435,2.00179471250086,3.14074687650997
"Nero d'Avola",87.4493150684931,23.3343558282209,365,4.31372549019608,0.168067226890756,0.168067226890756,6.38655462184874,1.28851540616247,7.78711484593838,3.80952380952381,11.3165266106443,1.17647058823529,0.784313725490196,0.168067226890756,0.392156862745098,0.448179271708683,2.80112044817927,0.61624649859944,0.0560224089635854,0.784313725490196,1.79271708683473,0.672268907563025,0.168067226890756,3.0812324929972,0,0.280112044817927,0.784313725490196,4.59383753501401,2.24089635854342,1.96078431372549,0.672268907563025,0.336134453781513,0.560224089635854,3.41736694677871,2.46498599439776,3.36134453781513,0.112044817927171,0.728291316526611,6.66666666666667,0.560224089635854,1.45658263305322,2.91316526610644,3.4733893557423,0.336134453781513,7.61904761904762,0.448179271708683,0.840336134453782,0.392156862745098,0,0.448179271708683,0.952380952380952,2.46498599439776,1.73669467787115
