"variety","points","price","n","apple","balanced","berry","blackberry","bright","cherry","chocolate","crisp","dark","delicious","dry","earthy","elegant","floral","fresh","fruity","herb","juicy","leather","licorice","light","lively","mineral","oak","pepper","plum","raspberry","refreshing","rich","ripe","savory","smooth","soft","solid","spice","sweet","tannic","tart","tobacco","vanilla"
"Chenin Blanc",88.575296108291,23.2307692307692,591,12.7456485120719,3.81807973048849,0.0561482313307131,0,4.49185850645705,0,0,6.90623245367771,0.0561482313307131,2.5828186412128,6.34475014037058,0.224592925322852,0.786075238629983,1.85289163391353,6.62549129702414,4.60415496911847,0.449185850645705,1.12296462661426,0,0,3.98652442448063,2.02133632790567,1.96518809657496,1.2914093206064,0.168444693992139,1.40370578326783,0,1.90903986524424,5.72711959573273,9.15216170690623,0.224592925322852,1.79674340258282,3.25659741718136,0.336889387984278,5.05334081976418,6.51319483436272,0.0561482313307131,1.06681639528355,0.0561482313307131,1.34755755193711
"Corvina",88.2558502340094,47.7286821705426,641,2.11915233906437,0.679728108756497,4.95801679328269,4.19832067173131,4.99800079968013,11.1155537784886,3.59856057576969,2.39904038384646,4.99800079968013,0.39984006397441,0.239904038384646,0.279888044782087,1.27948820471811,0.159936025589764,2.47900839664134,0.479808076769292,0.559776089564174,0.119952019192323,4.15833666533387,2.07916833266693,0.999600159936026,0.919632147141143,1.03958416633347,2.75889644142343,1.39944022391044,1.07956817273091,1.43942423030788,0.0799680127948821,2.51899240303878,3.91843262694922,1.63934426229508,2.51899240303878,4.19832067173131,0.279888044782087,11.87524990004,5.11795281887245,0.239904038384646,0.599760095961615,4.71811275489804,1.35945621751299
"Gamay",88.0331707317073,20.6997607655502,1025,0.0601503759398496,2.13533834586466,3.06766917293233,0.511278195488722,4.2406015037594,9.38345864661654,0.180451127819549,4.2406015037594,2.49624060150376,1.68421052631579,4,0.150375939849624,0.210526315789474,0.330827067669173,4.6015037593985,8.18045112781955,0.0300751879699248,6.73684210526316,0.0300751879699248,0.0601503759398496,4.21052631578947,0.932330827067669,1.80451127819549,0.150375939849624,0.421052631578947,3.03759398496241,0.511278195488722,0.631578947368421,8.03007518796992,11.8496240601504,0.0601503759398496,1.05263157894737,5.20300751879699,2.79699248120301,2.61654135338346,1.38345864661654,2.73684210526316,0.120300751879699,0,0.120300751879699
"Gewurztraminer",88.5909090909091,26.2834728033473,1012,2.98173686172195,4.65896384644055,0.0745434215430488,0,2.38538948937756,0.0745434215430488,0.0745434215430488,2.86992172940738,0.33544539694372,1.19269474468878,9.57882966828177,1.34178158777488,1.41632500931793,5.18076779724189,6.11256056653,2.9071934401789,0.223630264629146,2.83265001863586,0.0372717107715244,0,2.31084606783451,1.04360790160268,1.6772269847186,0.372717107715244,1.8263138278047,0.745434215430488,0,1.75177040626165,9.83973164368244,8.87066716362281,0.559075661572866,1.19269474468878,3.87625792023854,0.149086843086098,10.3615355944838,8.75885203130824,0,0.857249347745061,0,1.5281401416325
"Glera",87.2440056417489,20.1175496688742,709,17.9888268156425,0.893854748603352,0,0,11.7877094972067,0,0,9.32960893854749,0,0.782122905027933,5.3072625698324,0.0558659217877095,2.51396648044693,2.23463687150838,9.21787709497207,0.614525139664804,1.56424581005587,1.06145251396648,0,0,2.29050279329609,3.46368715083799,3.74301675977654,0,1.06145251396648,0,0,4.1340782122905,2.62569832402235,5.13966480446927,0.782122905027933,1.45251396648045,6.53631284916201,0.0558659217877095,0.279329608938547,4.18994413407821,0,0.726256983240223,0,0.167597765363128
"Grenache",87.9508700102354,31.5035971223022,977,0.43630017452007,0.639906922629436,5.90459569517161,2.76323443862711,1.6870273414776,10.7329842931937,2.09424083769634,1.65794066317627,2.93775450843514,0.814426992437464,2.44328097731239,2.26876090750436,1.19255381035486,1.54159394997091,3.66492146596859,1.30890052356021,1.48342059336824,1.42524723676556,0.843513670738802,1.6870273414776,4.3630017452007,1.16346713205352,0.58173356602676,3.78126817917394,2.93775450843514,8.58057009889471,5.49738219895288,0.14543339150669,2.21058755090169,3.49040139616056,1.4543339150669,0.756253635834788,1.89063408958697,0.72716695753345,4.71204188481675,2.82140779522978,2.065154159395,1.91972076788831,0.814426992437464,2.55962769051774
"Gruner Veltliner",89.9806691449814,27.7807860262009,1345,5.22685062350756,1.48580525338286,0.0530644733351021,0,2.46749801008225,0,0,5.09418944016981,0.212257893340409,1.85725656672858,3.76757760679225,0.955160520031839,0.477580260015919,0.928628283364288,12.0191032104006,3.15733616343858,0.610241443353675,2.62669143008756,0,0,6.2350756168745,2.52056248341735,1.75112762005837,0.424515786680817,8.33112231361104,2.06951446006898,0,5.25338286017511,4.77580260015919,11.1966038737066,4.11249668347042,1.45927301671531,2.4940302467498,0.0530644733351021,6.42080127354736,0.50411249668347,0,0.716370390023879,0,0.74290262669143
"Malbec",87.9830316742081,29.9267258002314,2652,0.0909642207398423,1.475641803113,10.9965635738832,7.74206589852436,1.17242773398019,3.88114008489994,3.62846169395593,0.535678188801294,4.80088942793612,0.424499696785931,2.11239134829189,2.10228421265413,0.505356781888013,1.09157064887811,2.32464119668486,1.51607034566404,1.24317768344451,2.32464119668486,1.50596321002628,1.78896300788357,1.31392763290883,0.808570851020821,0.444713968061451,5.5184960582171,1.49585607438852,8.95492217505559,2.01131999191429,0.0505356781888013,2.76935516474631,4.96260359814029,1.25328481908227,1.30382049727107,1.84960582171013,2.01131999191429,4.44713968061451,2.4156054174247,2.85021224984839,1.12189205579139,0.848999393571862,2.30442692540934
"Merlot",87.2085751128304,29.5434356629654,3102,0.102707749766573,1.24183006535948,4.02427637721755,4.19234360410831,0.933706816059757,10.9897292250233,3.79084967320261,0.821661998132586,3.10924369747899,0.859010270774977,4.36974789915966,1.34453781512605,1.1484593837535,0.289449112978525,1.531279178338,1.47525676937442,2.19421101774043,1.64332399626517,1.12978524743231,1.77404295051354,2.20354808590103,0.373482726423903,0.214752567693744,5.78898225957049,2.25023342670401,6.18113912231559,2.46498599439776,0.149393090569561,3.71615312791783,4.43510737628385,0.92436974789916,2.37161531279178,5.0140056022409,0.821661998132586,4.50980392156863,3.09990662931839,2.38095238095238,1.43790849673203,1.65266106442577,3.04388422035481
"Moscato",86.2793296089386,16.9515151515152,358,2.63157894736842,2.05949656750572,0.34324942791762,0,5.26315789473684,0.68649885583524,0.45766590389016,3.54691075514874,0.68649885583524,1.83066361556064,1.94508009153318,0,0.68649885583524,5.49199084668192,8.23798627002288,2.2883295194508,2.40274599542334,1.48741418764302,0,0,5.37757437070938,1.48741418764302,0.34324942791762,0,0.5720823798627,0.22883295194508,1.1441647597254,1.83066361556064,5.1487414187643,3.4324942791762,0.68649885583524,1.94508009153318,7.55148741418764,0.5720823798627,1.25858123569794,23.2265446224256,0.11441647597254,0.34324942791762,0,4.69107551487414
"Nebbiolo",90.2510699001427,65.6096096096096,2804,0.106229607709234,0.940890811138933,9.52272554822065,0.644965475377494,3.33864481371879,14.2120039456711,1.06229607709234,0.235222702784733,3.64974580772441,0.599438500644966,0.470445405569467,0.99400561499355,2.16253129979513,0.515972380301996,2.18529478716139,0.091053949465058,4.52993398588664,2.32187571135898,5.0686698535549,6.2220198801123,0.447681918203202,0.318688823127703,1.38098490022005,3.68768495333485,4.03672509295091,1.48721450792928,4.59822444798543,0.00758782912208817,0.773958570452993,4.83344715077016,0.948478640261021,0.918127323772669,0.743607253964641,0.720843766598376,8.29349723044237,1.04712041884817,0.736019424842553,0.766370741330905,3.17930040215494,2.20047044540557
"Nero d'Avola",87.4493150684931,23.3343558282209,365,0.184049079754601,0.184049079754601,6.99386503067485,8.52760736196319,4.17177914110429,12.3926380368098,1.28834355828221,0.429447852760736,3.06748466257669,0.674846625766871,0.0613496932515337,0.858895705521472,0.736196319018405,0.184049079754601,3.37423312883436,1.34969325153374,0.858895705521472,5.03067484662577,2.45398773006135,2.14723926380368,0.736196319018405,0.368098159509202,0.613496932515337,2.51533742331288,3.74233128834356,2.69938650306748,3.68098159509202,0.122699386503067,0.797546012269939,7.30061349693251,1.59509202453988,3.19018404907975,3.80368098159509,0.368098159509202,8.34355828220859,0.920245398773006,0,0.49079754601227,1.04294478527607,2.69938650306748
"Petite Sirah",88.2038961038961,31.4661458333333,770,0.0384172109104879,1.07568190549366,1.57510564733,9.33538225124856,0.768344218209758,5.33999231655782,6.87668075297733,0.268920476373415,7.64502497118709,1.69035728006147,4.26431041106416,1.38301959277756,0.883595850941222,0.614675374567806,0.960430272762198,1.30618517095659,0.461006530925855,1.45985401459854,2.34344986553976,2.65078755282366,0.998847483672685,0.115251632731464,0,4.18747598924318,6.49250864387245,2.80445639646562,1.57510564733,0.0768344218209758,4.99423741836343,4.7637341529005,1.03726469458317,1.65194006915098,4.95582020745294,0.422589320015367,2.38186707645025,2.72762197464464,5.18632347291587,1.11409911640415,1.53668843641952,2.03611217825586
"Pinot Blanc",87.9328859060403,22.1,596,13.7593552101324,2.01496833621186,0.0575705238917674,0,4.31778929188256,0.0575705238917674,0.0575705238917674,7.48416810592976,0,1.95739781232009,3.56937248128958,1.09383995394358,1.95739781232009,1.15141047783535,9.55670696603339,3.85722510074842,1.09383995394358,1.78468624064479,0,0,4.83592400690846,1.84225676453656,4.7783534830167,2.36039147956246,0.633275762809442,1.03626943005181,0,2.53310305123777,4.7783534830167,7.25388601036269,1.09383995394358,2.18767990788716,4.66321243523316,0.345423143350604,3.22394933793898,1.03626943005181,0,1.66954519286126,0,1.95739781232009
"Pinot Gris",87.5484642999601,20.3389051399916,2507,12.3521891978268,2.68456375838926,0.143815915627996,0,3.78715244487057,0.319590923617769,0.0479386385426654,7.41450942793225,0.0958772770853308,1.29434324065197,7.03100031959092,0.527325023969319,0.862895493767977,1.75775007989773,8.88462767657398,2.46085011185682,0.910834132310642,2.73250239693193,0,0.0639181847235538,5.4010866091403,2.0773410035155,2.68456375838926,1.75775007989773,1.16650687120486,0.127836369447108,0.0159795461808885,2.98817513582614,4.5701502077341,7.76605944391179,0.958772770853308,1.50207734100352,2.23713646532438,0.367529562160435,3.61137743688079,4.07478427612656,0.0639181847235538,2.70054330457015,0,2.55672738894215
"Pinot Noir",89.4024381178919,47.3775683608837,13453,0.308634647800385,1.59540371786045,2.4833218584554,1.00899788703972,2.15332019657653,13.2570451793642,1.58828137983429,2.16281664727808,3.09821704138078,1.6998646755775,3.79620616794473,2.5592934640678,1.74972104176064,0.664751549108521,2.94864794283137,1.6428859713682,1.3366254362432,2.02036988675483,0.519930675909879,1.23928681655231,4.52031053393794,0.840435887087201,0.486693098454453,5.2349184492296,1.64051185869281,3.24541202725481,5.91628878706583,0.465326084375965,3.92678236509105,5.54355309702999,1.44108639396026,1.38885591510173,3.29289428076257,0.97813442225968,4.01462453408039,2.27677405569668,1.4719498587403,3.15044752023931,0.553168253365305,1.77821039386529
